gene_id	E04C01	E04C02	E04C03	E04C04	E04C05	E04C06	E04C07	E04C08	E04C09	E04C10	E04C11	E04C12
SULT1C3	25	29	25	22	18	8	29	7	15	24	26	25
SULT1C2	1753	2154	2125	1586	1812	1251	2264	1894	2304	1647	1556	1656
SULT1C5P	3	4	14	2	3	6	14	4	0	6	12	2
SULT1C4	361	416	443	338	488	297	445	550	461	331	452	398
GCC2	2693	2728	2659	2243	2693	1755	3180	2637	1370	2508	2374	2688
GCC2-AS1	29	43	26	31	21	16	29	22	25	41	34	41
LIMS1	2594	2492	2660	2141	2653	1606	3164	2566	1922	2274	2218	2458
LIMS1-AS1	2	1	5	4	6	2	0	0	8	3	2	0
LOC107985802	0	0	0	0	0	0	0	0	5	0	0	0
RANBP2	4681	5012	4748	4174	5120	3239	6080	4796	2978	4766	4432	4974
CCDC138	175	133	147	99	185	101	223	186	141	150	104	170
EDAR	41	34	35	57	41	26	45	52	26	49	47	33
SH3RF3-AS1	23	17	27	27	26	14	31	9	12	14	14	18
SH3RF3	140	119	119	104	135	76	138	119	130	120	97	89
MIR4265	0	0	0	0	0	0	0	0	0	0	0	0
MIR4266	0	0	0	0	0	0	0	0	0	0	0	0
SEPTIN10	2894	3168	3104	2614	2967	1997	3749	2993	2203	2671	2635	2949
SOWAHC	2693	2756	2723	2338	2527	1705	3266	2891	2056	2620	2723	2945
LOC105373545	5	14	4	10	6	4	3	8	11	1	3	0
LOC107985774	2	0	4	1	0	0	0	2	1	0	3	0
LOC100506563	0	0	0	0	0	0	0	0	0	0	0	0
RGPD5	4	8	4	2	3	5	2	4	1	0	0	8
LOC102724848	0	0	0	0	0	0	0	0	0	0	0	0
LIMS3-LOC440895	0	0	0	0	0	0	0	0	0	0	0	0
LIMS3	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373547	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907865	0	0	0	0	0	0	0	0	0	0	0	0
LOC440895	0	0	0	0	0	0	0	0	0	0	0	0
LINC01123	594	616	548	457	548	295	702	542	548	451	508	490
LOC112268438	88	80	94	89	65	51	99	84	101	101	68	124
LOC124900614	0	0	0	0	0	0	1	0	0	0	0	0
LOC105373985	10	17	15	11	7	5	14	13	7	6	7	11
LOC124906058	0	3	0	0	4	0	0	1	0	0	0	0
LOC105373548	0	0	2	0	0	0	0	0	0	0	1	0
LOC105373549	0	0	0	0	0	1	0	0	0	0	0	0
LOC105373986	2	0	2	3	1	0	0	0	3	0	0	0
MIR4267	0	0	0	0	0	0	2	1	0	0	2	0
MALL	661	640	702	620	776	456	825	681	459	771	683	668
MIR4436B1	0	1	1	0	0	0	3	0	0	0	0	1
NPHP1	29	24	19	17	20	13	34	22	41	16	21	23
MTLN	594	531	642	560	533	303	688	573	777	620	594	648
LOC124906059	0	1	0	3	3	2	11	0	0	3	1	2
LOC100507334	46	52	41	59	64	46	61	29	80	36	50	55
LOC128966597	12	7	3	6	1	7	7	3	4	6	10	8
MIR4436B2	0	2	0	0	0	0	0	0	0	0	0	0
LOC124906060	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373551	4	4	6	0	7	4	7	9	6	0	13	7
LOC107985776	3	4	12	0	5	1	0	1	7	5	2	0
LOC124906061	4	21	12	14	5	17	13	22	16	16	9	9
LOC105375809	0	4	4	0	3	1	2	4	0	2	1	0
LIMS4	918	1109	1047	804	957	583	1137	990	1077	1007	801	888
LINC01106	0	0	0	0	0	0	0	0	0	0	0	0
LOC100288570	1	2	8	5	0	0	1	2	3	1	6	0
LOC124906063	0	0	6	0	0	2	1	3	0	0	0	1
LOC105373552	0	3	0	0	0	0	0	0	0	0	0	0
LOC102724875	0	0	0	0	0	0	0	0	0	0	0	0
RGPD6	14	3	11	7	12	4	7	9	1	8	0	16
LOC105373553	0	3	0	0	0	0	0	0	0	0	0	0
BUB1	1578	1503	1537	1327	1575	918	2144	1601	1131	1461	1417	1798
SNORD132	2	0	0	0	0	0	0	0	0	0	0	0
LOC105373554	3	1	4	3	2	1	6	3	3	0	0	0
LOC124906064	0	0	0	0	0	0	1	0	0	0	0	0
ACOXL	26	41	49	60	23	31	54	37	19	35	45	22
LOC124907866	0	0	0	0	0	0	0	0	0	0	0	0
ACOXL-AS1	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L11	2002	2225	2338	2028	2264	1435	2719	2108	1820	2151	2089	2417
LOC124907868	0	0	3	1	1	1	2	1	0	12	1	7
MIR4435-2HG	509	421	485	425	498	266	587	494	535	459	469	622
LOC124907867	4	3	0	2	1	3	3	0	4	1	3	0
LOC101927283	9	10	6	4	10	6	9	9	7	5	11	16
MIR4435-2	0	0	0	0	0	0	0	0	0	0	0	0
LOC124906065	6	11	7	13	9	10	14	6	13	8	9	23
SOCAR	2	0	1	0	2	1	0	2	2	5	4	1
LOC124906066	2	2	2	1	0	0	0	0	0	0	0	0
LOC105373559	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985933	3	11	6	8	12	8	7	6	10	4	13	15
ANAPC1	1687	1816	1892	1641	1842	1153	2308	1914	1033	1720	1614	1914
MIR4771-2	0	0	0	0	0	0	0	0	5	0	4	0
MERTK	1625	1859	1756	1458	1742	1173	2281	1969	1431	1703	1730	1813
TMEM87B	2299	2556	2504	2273	2377	1693	3062	2424	1575	2475	2298	2329
FBLN7	312	285	218	235	224	165	298	267	197	177	177	242
ZC3H8	486	496	427	438	449	249	624	455	413	371	400	469
ZC3H6	503	534	493	480	523	305	680	530	404	502	436	505
LOC124906067	5	13	2	4	4	4	1	5	6	2	2	1
RGPD8	113	153	129	109	169	94	163	158	109	127	124	134
TTL	796	750	752	613	751	471	909	727	529	784	666	717
LOC105373562	2	1	3	3	0	0	0	0	0	6	0	0
POLR1B	798	950	866	704	810	546	1008	922	699	710	640	847
LOC124907870	1	1	5	2	4	5	0	0	0	1	5	0
LOC101927330	52	52	53	55	60	32	65	67	70	55	51	71
CHCHD5	708	683	765	550	553	372	841	711	978	710	587	794
LOC124907869	12	21	13	7	9	7	5	18	12	14	8	12
LOC107985934	2	1	3	0	0	0	0	3	2	2	1	0
SLC20A1-DT	22	30	13	4	21	18	18	25	27	11	14	31
SLC20A1	3162	3386	3310	2652	3045	1896	3718	3162	3104	2782	2789	2800
LOC102724955	0	0	0	1	0	0	2	0	4	0	1	0
NT5DC4	70	88	95	79	78	58	100	64	95	80	54	119
CKAP2L	579	543	459	472	499	336	729	500	348	474	461	527
IL1A	9	16	12	11	8	11	9	17	12	2	12	9
LOC124907871	0	0	0	3	3	0	0	2	2	3	8	0
IL1B	9	17	20	10	9	8	17	16	16	16	8	20
LOC105373563	0	3	0	0	0	0	0	0	0	0	1	0
LOC124906068	3	0	2	7	4	0	4	5	1	0	2	6
IL37	2	7	5	10	15	3	10	15	43	2	5	10
IL36G	16	14	20	25	13	12	23	24	30	16	13	11
IL36A	0	0	0	0	0	0	0	0	0	0	0	0
IL36B	0	0	0	0	3	0	0	0	0	0	0	0
IL36RN	8	1	4	7	2	5	4	6	0	0	1	0
IL1F10	0	0	0	0	0	0	0	0	0	0	0	0
IL1RN	1	0	3	8	1	5	8	0	3	6	3	0
LOC124907872	1	7	0	1	1	4	0	0	1	2	1	0
PSD4	1607	1865	1791	1541	1701	1043	1892	1716	1438	1758	1702	1755
PAX8	409	374	437	316	356	223	414	410	297	340	336	349
PAX8-AS1	1572	1711	1808	1531	1636	1042	2085	1939	2063	1868	1659	1774
LOC105373567	6	1	6	1	4	1	9	5	11	11	6	7
LINC02966	9	3	7	5	3	8	9	4	12	7	5	2
LOC124906070	0	0	3	1	0	0	5	3	3	0	0	0
LOC107985936	2	8	1	0	3	0	5	4	3	0	3	5
LOC124907873	0	4	1	3	1	0	1	0	0	3	7	0
ZNG1B	630	681	605	624	619	476	760	750	589	568	518	716
FOXD4L1	13	4	6	0	9	8	2	9	7	1	6	0
LINC01961	1	0	0	2	0	0	0	0	0	0	0	0
PGM5P4-AS1	0	0	0	0	2	0	1	0	3	1	0	0
PGM5P4	2	4	1	5	1	1	1	1	5	4	3	0
LOC124908046	7	8	8	4	6	6	0	4	3	0	2	0
FAM138B	1	0	3	3	0	0	0	1	0	0	0	2
LOC124907875	0	9	5	2	1	3	4	0	5	0	1	0
MIR1302-3	0	0	0	0	0	0	0	0	0	0	0	0
WASH2P	544	653	655	584	590	351	687	511	642	592	535	668
DDX11L2	10	20	15	13	12	9	29	9	15	13	16	13
LOC124907874	15	25	10	6	23	10	17	21	13	18	10	13
RPL23AP7	100	135	126	105	97	69	107	81	122	121	103	111
RABL2A	183	265	238	186	203	131	222	270	254	179	175	179
LOC112268423	0	1	1	0	6	2	0	3	3	0	0	0
LINC02936	0	0	1	4	2	0	0	0	0	0	1	0
SLC35F5	8202	8450	7692	7536	8508	5695	10127	8762	7216	7815	7778	8216
MIR4782	0	2	0	0	1	3	0	0	0	2	3	14
LOC105373570	4	3	2	0	3	1	4	3	3	0	8	0
ACTR3-AS1	13	4	0	2	11	1	4	1	6	5	0	13
LOC124906165	0	0	1	0	0	0	0	0	0	0	0	0
LOC124906071	38	54	39	32	35	11	44	39	35	39	17	20
ACTR3	6136	5719	5976	5409	6056	3944	7349	5953	4549	5463	5432	5992
LINC01191	4	1	1	3	0	2	3	5	8	7	6	0
LINC02992	3	2	0	1	0	0	1	0	0	4	4	0
LOC124906194	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907876	0	0	0	0	0	0	0	0	0	0	0	0
DPP10	0	0	1	0	0	0	0	0	0	0	0	0
LOC124907877	0	0	0	0	0	0	0	0	0	0	0	0
DPP10-AS3	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373575	0	0	0	0	0	0	0	0	1	0	0	0
LOC105373574	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985937	0	0	0	0	0	0	0	0	0	0	0	0
DPP10-AS1	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373572	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373576	0	0	0	0	0	0	0	0	0	3	0	0
LOC124907878	1	0	0	0	0	0	0	0	0	0	0	0
DDX18	2935	3124	3117	2627	2956	1858	3928	3233	2104	2779	2526	2920
LOC107985939	107	135	123	86	99	68	150	126	118	73	78	102
CCDC93	2005	2228	2318	1672	2191	1382	2668	2239	1401	2272	2021	2107
LOC101929908	0	1	1	0	0	3	2	7	0	13	2	2
LOC102723413	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985940	0	2	0	0	1	0	0	0	0	0	2	1
INSIG2	1270	1232	1124	1083	1195	863	1614	1320	1096	1135	1123	1271
LOC124907879	18	26	29	31	22	18	40	23	32	17	34	35
THORLNC	1	8	3	4	0	0	7	1	0	0	7	0
LOC105373578	2	0	0	0	3	1	0	0	0	0	0	0
LOC107985815	0	0	0	0	0	0	0	0	0	0	2	0
LOC105373579	2	0	3	0	0	2	0	5	0	0	0	0
LOC101927709	0	0	0	0	0	0	0	0	0	0	0	0
LINC01956	0	0	0	0	0	0	0	0	0	0	0	0
EN1	0	0	0	0	0	0	0	0	0	0	0	0
MARCO	0	2	6	3	0	1	2	1	0	5	0	4
LOC124906072	0	0	0	0	0	0	0	0	0	0	0	0
C1QL2	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985941	6	4	2	0	2	1	3	1	0	0	4	0
STEAP3	521	633	660	444	491	338	713	629	653	562	579	569
STEAP3-AS1	9	5	7	2	2	1	3	2	1	12	10	10
LOC105373581	7	5	7	8	8	6	15	7	5	5	7	7
C2orf76	79	99	78	46	87	59	90	89	98	100	71	109
DBI	4079	3770	3944	3028	3874	2423	4769	3709	5051	3550	3298	4170
TMEM37	1071	1179	1194	1033	1197	718	1473	1272	1115	1265	1123	1178
SCTR	167	214	216	126	146	92	221	142	68	214	129	101
SCTR-AS1	46	43	43	39	18	18	39	57	49	26	32	30
CFAP221	60	73	60	72	58	52	48	37	78	78	39	62
TMEM177	1005	1081	1095	917	960	610	1102	1009	1100	1134	952	1048
LOC101927764	8	4	9	10	12	9	15	11	3	12	7	8
PTPN4	633	668	659	549	580	404	804	541	506	572	468	557
LOC124906163	0	0	1	0	0	1	1	3	0	3	2	0
LOC107985817	0	3	0	0	1	0	2	0	2	0	3	0
EPB41L5	3303	3265	3388	2995	3378	2103	3811	3343	2777	3051	3120	3089
LOC105373582	66	73	110	64	81	58	112	75	72	89	68	59
TMEM185B	2095	2352	2273	2047	2287	1460	2584	2287	2069	2242	2343	2269
LOC105373583	71	101	84	79	79	73	87	108	126	75	116	101
RALB	3921	4007	4146	3252	3995	2444	4689	4125	3564	3612	3656	3806
LOC105373584	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373989	115	141	124	107	119	52	126	91	52	118	141	134
INHBB	695	739	658	586	707	389	770	630	567	736	729	718
LINC01101	6	8	7	9	10	3	11	9	2	10	6	0
LOC105373585	2	1	2	7	5	2	9	6	2	7	6	3
LOC124906073	0	0	0	0	0	0	0	1	0	0	0	0
LOC124907881	1	0	1	0	0	1	2	0	0	0	0	2
GLI2	3	12	8	3	9	2	12	2	3	10	11	15
LOC124907880	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373587	1	0	0	0	0	0	0	0	0	0	0	0
LOC105373588	0	0	0	0	0	0	0	0	0	0	0	0
TFCP2L1	195	180	178	121	186	103	204	185	135	243	197	119
CLASP1	2188	2408	2439	2050	2291	1489	2903	2360	1641	2232	2108	2565
CLASP1-AS1	5	5	15	3	7	7	13	8	6	8	3	9
RNU4ATAC	0	0	1	0	2	0	0	0	0	0	0	0
NIFK-AS1	110	112	118	94	128	75	136	120	193	98	94	103
NIFK	609	599	690	517	636	402	777	641	826	534	524	568
TSN	2384	2532	2472	2050	2403	1558	3058	2426	2249	2151	2201	2450
LOC105373590	6	9	11	13	4	10	8	22	6	8	9	6
LINC01823	1	1	6	1	4	0	2	8	0	3	0	2
LOC105373592	0	0	2	0	0	1	0	0	0	4	0	0
LOC105373591	0	0	0	0	0	0	0	0	0	0	1	0
LOC105373593	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985943	0	0	0	0	0	0	0	0	5	0	0	0
LOC105373594	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373595	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373596	0	0	0	0	0	0	0	0	0	0	0	0
LINC01826	0	0	0	0	0	0	0	0	0	0	0	0
CNTNAP5-DT	0	0	0	0	0	0	0	0	0	0	0	0
CNTNAP5	1	1	3	0	2	0	2	2	1	3	2	3
LOC105373598	0	0	0	0	0	0	0	0	0	0	0	0
LINC01889	0	2	0	1	0	0	1	0	5	0	1	0
LOC124900611	0	0	0	0	0	0	0	0	0	0	0	0
LINC01941	1	0	3	5	2	0	0	1	0	0	0	0
LOC105373601	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373602	0	0	0	0	0	0	0	0	0	0	0	0
GYPC	0	0	0	4	0	0	1	0	0	0	0	7
LOC124907882	13	3	14	15	8	3	3	3	4	6	10	15
LOC105373603	0	0	0	0	0	0	0	0	0	0	0	0
TEX51	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373604	11	3	1	0	5	1	3	8	2	0	4	4
BIN1	5680	6299	6283	5256	5737	3503	7088	6329	6807	5977	6006	6648
LOC105373605	428	458	555	381	404	318	553	484	368	453	367	441
CYP27C1	2	0	0	1	4	1	4	6	3	4	1	3
LOC124907883	0	1	0	0	0	0	0	0	0	0	0	0
ERCC3	1574	1653	1719	1302	1541	1023	2051	1584	1575	1429	1421	1595
MAP3K2	2072	2113	2054	1772	1919	1280	2462	1816	1289	1869	1661	1932
LOC124906074	0	0	0	5	0	0	0	0	3	0	0	4
MAP3K2-DT	101	84	106	66	73	61	94	107	100	75	75	125
LOC124908047	102	128	102	118	102	48	160	111	126	107	100	113
PROC	1311	1391	1512	1347	1249	880	1441	1217	1601	1386	1324	1370
MIR4783	4	5	1	1	2	2	0	0	1	0	2	4
LOC105373608	40	65	53	39	37	24	83	61	69	73	37	51
LOC124907884	8	4	14	6	1	2	11	3	14	7	6	11
IWS1	3155	3386	3314	2676	3307	2184	3898	3270	2864	3160	3231	3413
MYO7B	4018	4674	4316	3715	3971	2749	4890	4359	3860	4511	4240	4338
LOC105373609	14	9	10	6	11	5	6	14	18	26	13	8
LOC101927834	42	56	39	10	26	18	30	30	44	35	20	21
LIMS2	97	128	121	93	127	92	164	159	189	102	112	183
GPR17	13	23	11	15	27	16	26	19	24	17	12	26
WDR33	3021	3241	3123	2695	3154	1877	3784	3129	2957	2986	2626	3092
SFT2D3	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907885	46	43	49	27	33	20	57	46	46	47	39	47
POLR2D	1452	1556	1329	1280	1496	906	1808	1522	1619	1486	1397	1520
AMMECR1L	1306	1428	1380	1134	1265	811	1722	1370	960	1297	1305	1346
LOC107985944	35	52	46	50	42	18	52	39	64	43	55	51
SAP130	1927	2036	2201	1751	1915	1222	2449	2043	1816	2046	1938	2143
UGGT1	4782	4605	4588	4148	4568	2827	6103	4881	3624	4476	4290	4941
LOC124907886	0	0	0	0	0	0	1	0	0	0	1	0
HS6ST1	1005	1045	959	804	906	546	1056	1025	803	716	824	1004
LOC105373610	1	0	0	0	0	0	0	0	0	0	0	0
LOC105373611	0	0	0	0	0	0	0	0	0	3	1	0
LOC124907887	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907888	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927881	6	6	5	3	9	1	5	14	7	6	8	8
LINC01854	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373612	0	0	0	0	0	0	0	0	0	0	0	0
LOC124906164	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373613	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373614	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907889	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985945	0	0	0	0	0	0	0	0	0	0	0	0
LINC02572	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373616	0	0	0	0	0	0	0	0	0	0	0	0
PLAC9P1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01856	0	0	0	0	0	0	0	0	0	0	0	0
RAB6C-AS1	0	0	0	0	0	0	0	0	0	0	0	0
RAB6C	0	0	0	0	0	0	0	0	0	0	0	0
FAR2P1	9	11	11	5	13	5	7	19	7	8	11	4
POTEF	16	15	37	28	44	6	30	20	2	28	24	22
POTEF-AS1	0	0	0	0	0	0	0	0	0	0	0	0
MED15P9	0	0	0	0	0	0	0	0	0	0	0	0
CCDC74B	0	0	0	0	0	0	0	0	0	0	0	0
SMPD4	0	0	0	0	0	0	0	0	0	0	0	0
MZT2B	0	0	0	0	0	0	0	0	0	0	0	0
TUBA3E	4	3	8	8	6	6	11	3	14	3	13	11
TRE-TTC1-1	0	0	0	0	0	0	0	0	0	0	0	0
CCDC115	1592	1540	1429	1372	1472	944	1760	1460	1562	1411	1430	1504
IMP4	2185	2125	2180	1879	1923	1269	2525	2094	2204	1993	1984	1975
PTPN18	2325	2452	2507	2310	2208	1451	2819	2638	2718	2271	2295	2328
LOC105373618	9	16	13	3	17	9	10	15	26	12	8	8
FAR2P2	266	239	238	249	288	152	304	262	173	214	216	186
CYP4F62P	0	2	0	1	0	1	0	0	10	0	5	8
POTEI	3	3	2	2	5	0	2	2	0	2	2	4
CFC1B	0	0	0	0	0	0	0	0	0	0	0	0
PRSS40B	0	0	0	0	0	0	0	0	0	0	0	0
PRSS40A	0	0	0	0	0	0	0	4	1	0	0	0
CFC1	0	1	0	0	2	0	1	0	0	0	1	0
POTEJ	0	0	0	4	0	0	3	0	0	0	1	0
CYP4F30P	1	2	2	0	0	2	0	0	3	1	0	3
GPR148	9	8	5	7	11	6	5	0	0	6	2	5
LOC124907890	15	15	22	13	8	3	8	7	3	16	15	7
AMER3	102	145	144	142	103	77	135	164	103	155	109	148
LOC124907891	2	0	0	0	0	0	1	5	0	0	0	0
ARHGEF4-AS1	32	42	38	24	23	21	38	61	64	34	49	52
ARHGEF4	343	412	421	394	355	223	468	390	397	349	353	396
LOC124900527	0	0	0	0	0	0	0	0	0	0	0	0
SMIM39	0	0	0	0	0	0	0	0	0	0	0	0
FAM168B	6065	6433	6362	5788	6163	3919	7424	6375	4446	5920	5725	5978
PLEKHB2	10587	11145	10413	9262	10507	6713	12844	10868	8106	10205	9883	10476
POTEE	23	22	25	36	25	13	16	16	6	11	25	13
LOC440910	7	3	12	7	3	3	2	10	1	4	5	5
RAB6D	16	31	30	13	29	19	23	32	21	16	22	44
LOC112268425	0	0	0	0	0	1	3	0	2	0	0	0
LINC01120	0	1	0	1	0	0	2	0	0	2	0	0
NOC2LP2	0	0	0	1	0	0	0	1	0	0	0	0
MZT2A	3352	2991	3053	2601	2858	1583	3383	2909	3667	3053	2963	3324
TUBA3D	35	51	44	41	27	22	46	46	26	31	38	41
MIR4784	6	5	12	2	9	0	6	2	4	16	7	6
SMPD4BP	898	1147	1075	846	982	560	1135	999	1116	1006	836	888
CCDC74A	3	2	0	9	8	1	3	5	3	3	2	7
POTEKP	0	0	0	0	0	0	0	0	0	0	0	0
LINC01087	7	2	1	0	0	0	4	0	3	0	1	0
C2orf27A	39	44	37	35	33	22	74	67	17	47	41	72
CDRT15P3	0	0	0	0	0	0	0	0	0	0	0	0
LINC01945	0	0	0	0	0	0	0	0	0	0	0	0
LOC124908048	0	1	0	0	0	0	0	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	0	0	0	0	0	0	0
MIR663B	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373622	0	0	0	0	0	0	0	0	0	0	0	0
ZNF285CP	0	0	0	0	0	0	1	0	0	0	0	0
LOC124907892	0	3	1	1	0	1	0	0	0	0	1	0
FAM201B	3	7	4	9	4	4	11	1	0	14	6	0
LOC124905948	29	22	30	27	14	13	36	25	20	33	18	28
GPR39	209	188	233	156	182	134	217	175	147	199	192	196
MIR9986	0	0	0	0	0	0	0	0	0	0	0	0
LYPD1	8	12	14	22	10	12	5	17	8	5	6	11
NCKAP5	124	130	136	151	126	92	199	142	106	140	132	170
NCKAP5-AS1	0	0	2	0	0	0	0	0	0	4	0	0
LOC112268439	0	0	0	0	0	0	0	0	0	0	0	0
NCKAP5-AS2	0	0	0	0	0	0	0	2	0	0	2	6
LOC105373627	2	1	7	0	0	2	1	2	0	5	2	0
LOC105373628	0	0	2	0	0	0	0	0	0	0	0	0
MGAT5	1918	2348	2407	1983	2226	1440	2651	2308	1514	2084	2198	2162
MIR3679	1	0	0	0	1	0	0	0	0	0	1	0
TMEM163	77	69	91	65	101	49	120	92	110	116	110	74
LOC124906076	0	0	0	1	0	0	0	0	0	0	1	0
LOC105373629	0	0	0	0	0	0	0	0	0	0	0	7
ACMSD	11	19	14	23	9	14	21	11	7	15	15	19
MIR5590	0	0	0	0	0	0	0	0	0	0	0	0
CCNT2-AS1	18	18	24	37	14	20	36	14	20	20	25	4
CCNT2	1823	1956	1876	1497	1621	1154	2203	1680	1132	1583	1390	1578
MAP3K19	0	9	5	0	10	3	5	12	9	0	4	5
RAB3GAP1	2853	3019	2926	2540	2728	1890	3437	2714	2240	2777	2440	2808
LOC124906178	0	2	0	0	0	1	1	0	14	4	0	0
SNORA40B	1	0	0	0	3	0	1	0	3	0	1	0
ZRANB3	215	210	171	186	174	113	239	246	143	153	138	174
LOC124906077	1	4	0	0	0	1	3	4	6	3	4	1
R3HDM1	1101	1024	1073	827	1006	640	1443	1039	882	960	880	1124
LOC124907893	4	3	4	2	2	5	6	4	3	2	2	3
MIR128-1	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985946	29	31	41	30	26	21	39	18	14	33	44	37
UBXN4	5805	6159	6101	5042	6079	4153	7340	6249	4202	5465	5140	5594
LCT	804	887	953	756	802	531	962	798	657	903	861	799
LCT-AS1	1	1	1	1	2	1	3	1	0	0	1	0
MCM6	3181	3153	3113	2491	3049	1766	3846	3160	2499	2705	2408	3105
DARS1	3233	3126	3023	2753	3191	1926	4144	3279	2750	2715	2513	3332
LOC124906078	62	82	91	55	85	40	67	44	27	48	50	44
DARS1-AS1	20	19	13	48	9	17	24	11	9	28	15	29
CXCR4	27	39	21	25	28	15	51	15	42	45	45	45
LOC105373633	0	0	0	0	0	0	0	0	0	0	0	0
THSD7B	76	52	76	60	40	34	63	89	38	39	32	38
LOC105373634	0	1	0	0	0	0	0	0	0	0	0	0
LOC101928273	0	0	1	0	0	0	0	0	0	0	0	0
HNMT	3809	3942	4008	3297	3804	2369	4640	3707	3657	3346	3082	3589
LOC107985948	75	51	69	49	44	28	45	53	12	37	44	38
LOC105373636	2	2	0	0	0	1	0	0	1	2	2	3
LINC01832	0	0	0	0	0	0	0	4	0	0	0	0
SPOPL-DT	41	80	62	60	37	46	88	71	60	72	65	69
SPOPL	2509	2368	2355	2051	2436	1521	2813	2286	1293	2226	1979	2189
LOC124905958	2	0	0	0	2	1	4	0	0	5	6	0
LINC02631	8	10	4	4	4	4	4	5	5	1	9	5
NXPH2	0	0	0	0	0	0	0	0	0	0	0	0
YY1P2	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373639	0	0	0	0	2	0	0	0	0	0	0	0
LOC105373640	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985821	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373643	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373641	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373644	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373645	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900519	0	0	0	0	0	0	0	0	0	0	0	0
LINC01853	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985822	0	0	0	0	0	0	0	0	0	0	0	0
LRP1B	0	0	0	0	0	2	4	0	1	0	0	0
MIR7157	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373649	0	0	0	0	0	0	0	0	0	0	0	0
LOC124906079	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985779	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373648	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373651	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373652	3	0	0	0	2	0	1	0	0	0	1	0
KYNU	776	827	950	801	797	651	1116	1084	982	843	821	880
LOC124907894	0	2	1	0	0	5	4	6	0	0	2	0
ARHGAP15	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985949	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928361	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP15-AS1	0	0	0	0	0	0	0	0	0	0	0	0
LOC101928386	0	0	1	0	0	0	0	0	0	0	0	7
GTDC1	152	151	142	83	125	92	179	117	130	118	83	152
ZEB2	0	0	0	0	0	1	0	0	0	0	0	6
ZEB2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01412	0	0	0	0	0	0	0	0	0	0	0	0
LINC02993	0	0	0	0	0	0	0	0	0	0	0	0
TEX41	0	3	0	0	0	0	0	0	0	0	0	0
LOC105373663	0	0	0	0	0	0	0	0	0	0	0	0
LINC01966	0	0	0	0	0	0	0	0	0	0	0	0
LOC100505498	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373664	0	0	0	0	0	0	0	0	0	0	0	0
LOC124908059	1	2	0	13	0	0	1	4	0	0	0	0
LOC105373665	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373666	0	0	0	0	0	0	0	0	0	0	0	0
LOC105373667	0	0	0	0	0	0	0	0	0	0	0	0
LOC124907895	0	0	0	0	0	0	0	0	0	0	0	0
PABPC1P2	0	0	0	0	0	0	0	0	0	0	0	0
LINC01911	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985824	0	0	0	0	0	0	0	0	0	0	0	0
